Title;Year;Genres;Language;Country;Content Rating;Duration;Aspect Ratio;Budget;Gross Earnings;Director;Actor 1;Actor 2;Actor 3;Facebook Likes - Director;Facebook Likes - Actor 1;Facebook Likes - Actor 2;Facebook Likes - Actor 3;Facebook Likes - cast Total;Facebook likes - Movie;Facenumber in posters;User Votes;Reviews by Users;Reviews by Crtiics;IMDB Score;
The Fast and the Furious ;2001;Action|Crime|Thriller;English;USA;PG-13;106;2,35;38000000;144512310;Rob Cohen;Paul Walker;Vin Diesel;Jordana Brewster;357;23000;14000;4000;45327;14000;2;272223;988;187;6,7;
The Fast and the Furious ;2001;Action|Crime|Thriller;English;USA;PG-13;106;2,35;38000000;144512310;Rob Cohen;Paul Walker;Vin Diesel;Jordana Brewster;357;23000;14000;4000;45327;14000;2;272227;988;187;6,7;
The Forsaken ;2001;Horror|Thriller;English;USA;R;90;1,85;5000000;6755271;J.S. Cardone;Brendan Fehr;Kerr Smith;Izabella Miko;23;847;591;560;3004;327;4;7319;131;56;5,3;
The Glass House ;2001;Crime|Drama|Mystery|Thriller;English;USA;PG-13;106;2,35;30000000;17951431;Daniel Sackheim;Chris Noth;Bruce Dern;Trevor Morgan;12;962;844;595;4239;804;1;25462;200;95;5,8;
The Jimmy Show ;2001;Comedy|Drama;English;USA;R;96;1,85;1500000;703;Frank Whaley;Lynn Cohen;Frank Whaley;Heather Bucha;436;474;436;4;920;47;3;480;21;9;5,4;
The Last Castle ;2001;Action|Drama|Thriller;English;USA;R;131;2,35;60000000;18208078;Rod Lurie;Clifton Collins Jr.;Delroy Lindo;Michael Irby;37;968;848;507;3012;0;3;57100;281;110;6,9;
The Legend of Suriyothai ;2001;Action|Adventure|Drama|History|War;Thai;Thailand;R;300;1,85;400000000;454255;Chatrichalerm Yukol;Sarunyu Wongkrachang;Chatchai Plengpanich;Mai Charoenpura;6;7;6;6;32;124;3;1666;47;31;6,6;
The Lord of the Rings: The Fellowship of the Ring ;2001;Action|Adventure|Drama|Fantasy;English;New Zealand;PG-13;171;2,35;93000000;313837577;Peter Jackson;Christopher Lee;Orlando Bloom;Billy Boyd;0;16000;5000;857;22342;21000;2;1238746;5060;297;8,8;
The Lost Skeleton of Cadavra ;2001;Comedy|Horror|Sci-Fi;English;USA;PG;90;1,85;40000;110536;Larry Blamire;Fay Masterson;Brian Howe;Larry Blamire;56;126;76;56;284;0;1;4117;118;88;7;
The Majestic ;2001;Drama|Romance;English;USA;PG;152;1,85;72000000;27796042;Frank Darabont;Martin Landau;Hal Holbrook;Jeffrey DeMunn;0;940;826;745;4310;0;1;45031;376;128;6,9;
The Mexican ;2001;Adventure|Comedy|Crime|Romance;English;USA;R;123;2,35;34000000;66808615;Gore Verbinski;J.K. Simmons;Brad Pitt;Julia Roberts;563;24000;11000;8000;43917;2000;0;87351;344;125;6,1;
The Mummy Returns ;2001;Action|Adventure|Fantasy|Thriller;English;USA;PG-13;130;2,35;98000000;202007640;Stephen Sommers;Dwayne Johnson;Brendan Fraser;Patricia Velasquez;208;12000;3000;591;15972;0;5;248045;890;202;6,3;
The Musketeer ;2001;Action|Adventure|Romance;English;Germany;PG-13;104;2,35;40000000;27053815;Peter Hyams;Catherine Deneuve;Justin Chambers;Stephen Rea;0;964;931;327;2888;299;0;12856;291;107;4,7;
The One ;2001;Action|Sci-Fi|Thriller;English;USA;PG-13;85;2,35;49000000;43905746;James Wong;Jason Statham;Jet Li;Delroy Lindo;70;26000;5000;848;32831;0;1;77684;294;98;5,9;
The Other Side of Heaven ;2001;Adventure|Biography|Drama;English;USA;PG;113;1,85;7000000;4720371;Mitch Davis;Anne Hathaway;Nathaniel Lees;Miriama Smith;7;11000;43;35;11116;650;2;3203;85;27;6,5;
The Others ;2001;Fantasy|Horror|Thriller;English;USA;PG-13;101;1,85;17000000;96471845;Alejandro Amenábar;Fionnula Flanagan;Elaine Cassidy;Eric Sykes;448;482;203;83;956;20000;0;268581;1109;239;7,6;
The Pledge ;2001;Crime|Drama|Mystery|Thriller;English;USA;R;124;2,35;45000000;19719930;Sean Penn;Costas Mandylor;Adrien Dorval;Nels Lennarson;0;723;44;19;793;0;0;42621;531;150;6,8;
The Princess Diaries ;2001;Comedy|Family|Romance;English;USA;G;111;1,85;37000000;108244774;Garry Marshall;Anne Hathaway;Hector Elizondo;Heather Matarazzo;0;11000;995;529;13645;0;2;94049;301;108;6,2;
The Royal Tenenbaums ;2001;Comedy|Drama;English;USA;R;110;2,35;21000000;52353636;Wes Anderson;Bill Murray;Anjelica Huston;Seymour Cassel;0;13000;1000;327;14609;0;1;209133;962;220;7,6;
The Score ;2001;Crime|Drama|Thriller;English;USA;R;124;2,35;68000000;71069884;Frank Oz;Robert De Niro;Marlon Brando;Gary Farmer;0;22000;10000;580;32871;0;0;101899;445;141;6,8;
The Shipping News ;2001;Drama;English;USA;R;111;2,35;35000000;11405825;Lasse Hallström;Kevin Spacey;Scott Glenn;Jason Behr;529;18000;826;505;19805;0;3;28542;208;119;6,8;
The Tailor of Panama ;2001;Drama|Thriller;English;USA;R;109;2,35;18000000;13491653;John Boorman;Daniel Radcliffe;Jamie Lee Curtis;Mark Margolis;128;11000;2000;1000;14995;813;0;23728;213;104;6,1;
The Wash ;2001;Comedy;English;USA;R;93;1,85;4000000;10097096;DJ Pooh;Angell Conwell;Dr. Dre;DJ Pooh;69;522;231;69;955;842;2;5612;38;27;4,6;
The Wedding Planner ;2001;Comedy|Romance;English;Germany;PG-13;103;2,35;35000000;60400856;Adam Shankman;Matthew McConaughey;Judy Greer;Alex Rocco;163;11000;2000;968;17533;0;2;61317;229;108;5,2;
Thir13en Ghosts ;2001;Horror;English;USA;R;91;1,33;20000000;41867960;Steve Beck;Shannon Elizabeth;Embeth Davidtz;F. Murray Abraham;17;1000;795;670;3023;0;0;65512;478;149;5,5;
Thirteen Conversations About One Thing ;2001;Drama;English;USA;R;104;1,85;4500000;3287435;Jill Sprecher;Matthew McConaughey;Rob McElhenney;Amy Irving;11;11000;813;194;12250;430;2;8603;115;79;7,1;
Tomcats ;2001;Comedy;English;USA;R;95;1,85;11000000;13558739;Gregory Poirier;Shannon Elizabeth;Jake Busey;David Ogden Stiers;5;1000;660;443;2729;449;0;15427;121;75;5,3;
Town & Country ;2001;Comedy|Romance;English;New Line;R;104;1,85;90000000;6712451;Peter Chelsom;Del Zamora;Warren Beatty;Garry Shandling;23;752;631;591;3133;53;0;4102;89;62;4,4;
Training Day ;2001;Crime|Drama|Thriller;English;USA;R;122;2,35;45000000;76261036;Antoine Fuqua;Denzel Washington;Snoop Dogg;Tom Berenger;845;18000;881;854;22370;0;2;305929;633;109;7,7;
Two Can Play That Game ;2001;Comedy|Romance;English;USA;R;90;1,85;6000000;22235901;Mark Brown;Mo'Nique;Vivica A. Fox;Tamala Jones;7;939;890;405;2815;593;2;4339;31;40;6,1;
Valentine ;2001;Horror|Mystery|Thriller;English;USA;R;96;2,35;10000000;20384136;Jamie Blanks;Marley Shelton;Jessica Capshaw;Johnny Whitworth;9;690;533;448;2402;0;1;20467;371;120;4,7;
Vanilla Sky ;2001;Fantasy|Mystery|Romance|Sci-Fi|Thriller;English;USA;R;141;1,85;68000000;100614858;Cameron Crowe;Tom Cruise;Ivana Milicevic;Noah Taylor;488;10000;834;509;11458;0;1;206776;1248;153;6,9;
Wasabi ;2001;Action|Comedy|Crime|Drama|Thriller;French;France;R;94;2,35;15300000;81525;Gérard Krawczyk;Carole Bouquet;Ryôko Hirosue;Michel Muller;7;235;46;17;303;0;1;29392;91;40;6,6;
What's the Worst That Could Happen? ;2001;Comedy|Crime;English;USA;PG-13;94;1,85;45000000;32095318;Sam Weisman;Bernie Mac;Larry Miller;Richard Schiff;39;1000;611;506;3664;304;0;12466;84;64;5,5;
Winged Migration ;2001;Documentary;English;France;G;81;1,85;160000000;10762178;Jacques Perrin;Jacques Perrin;Philippe Labro;;63;63;3;;66;1000;0;10369;153;100;8;
Y Tu Mamá También ;2001;Adventure|Comedy|Drama|Romance;Spanish;Mexico;R;106;1,85;2000000;13622333;Alfonso Cuarón;Maribel Verdú;Daniel Giménez Cacho;María Aura;0;269;43;19;361;0;1;91377;385;173;7,7;
Zoolander ;2001;Comedy;English;Germany;PG-13;90;2,35;28000000;45162741;Ben Stiller;Milla Jovovich;Alexander Skarsgård;Will Ferrell;0;14000;10000;8000;34565;0;0;201084;523;135;6,6;
25th Hour ;2002;Drama;English;USA;R;108;2,35;15000000;13060843;Spike Lee;Philip Seymour Hoffman;Rosario Dawson;Aaron Stanford;0;22000;3000;346;26050;0;0;149528;454;202;7,7;
28 Days Later... ;2002;Drama|Horror|Sci-Fi|Thriller;English;UK;R;113;1,85;8000000;45063889;Danny Boyle;Noah Huntley;Megan Burns;David Schneider;0;133;32;27;241;11000;0;297250;1441;224;7,6;
40 Days and 40 Nights ;2002;Comedy|Romance;English;USA;R;96;1,85;17000000;37939782;Michael Lehmann;Emmanuelle Vaugier;Vinessa Shaw;Paulo Costanzo;36;1000;580;486;3294;2000;0;62272;207;140;5,6;
8 Mile ;2002;Drama|Music;English;USA;R;110;2,35;41000000;116724075;Curtis Hanson;Mekhi Phifer;Omar Benson Miller;Evan Jones;161;1000;418;196;1954;0;0;187181;564;119;7;
8 Women ;2002;Comedy|Crime|Musical|Romance;French;France;R;111;1,85;8000000;3076425;François Ozon;Catherine Deneuve;Isabelle Huppert;Emmanuelle Béart;341;963;678;569;3543;0;1;23660;162;128;7,1;
A Walk to Remember ;2002;Drama|Romance;English;USA;PG;101;2,35;11000000;41227069;Adam Shankman;Lauren German;Peter Coyote;Paz de la Huerta;163;683;548;488;2436;19000;1;162701;962;80;7,4;
Abandon ;2002;Drama|Music|Mystery|Romance|Thriller;English;USA;PG-13;99;2,35;25000000;10719367;Stephen Gaghan;Charlie Hunnam;Zooey Deschanel;Tony Goldwyn;79;16000;11000;956;28987;261;3;7909;157;72;4,9;
About a Boy ;2002;Comedy|Drama|Romance;English;UK;PG-13;101;2,35;30000000;40566655;Chris Weitz;Sharon Small;Christopher Webster;Peter McNicholl;129;66;5;3;74;0;0;144021;391;158;7,1;
About Schmidt ;2002;Comedy|Drama;English;USA;R;125;1,85;30000000;65010106;Alexander Payne;Hope Davis;June Squibb;Howard Hesseman;729;442;344;322;1556;0;1;107557;612;217;7,2;
Adaptation. ;2002;Comedy|Drama;English;USA;R;81;1,85;19000000;22245861;Spike Jonze;Nicolas Cage;Meryl Streep;Roger Willie;0;12000;11000;836;25489;0;0;143251;710;241;7,7;
All About the Benjamins ;2002;Action|Comedy|Crime|Thriller;English;USA;R;95;2,35;14000000;25482931;Kevin Bray;Mike Epps;Roger Guenveur Smith;Gino Salvano;10;706;266;111;1421;530;2;9693;33;40;5,7;
All or Nothing ;2002;Drama;English;UK;R;121;1,85;9000000;112935;Mike Leigh;Lesley Manville;Ruth Sheen;Gary McDonald;608;149;44;25;251;484;0;8161;94;81;7,6;
Amen. ;2002;Biography|Crime|Drama|War;English;France;Unrated;132;1,85;103000000;274299;Costa-Gavras;Sebastian Koch;Mathieu Kassovitz;Ulrich Mühe;333;380;326;284;1429;0;2;11077;55;69;7,3;
Analyze That ;2002;Comedy|Crime;English;USA;R;96;1,85;60000000;32122249;Harold Ramis;Robert De Niro;Cathy Moriarty;Joe Viterelli;11000;22000;394;236;22889;846;1;69319;138;105;5,9;
Antwone Fisher ;2002;Biography|Drama;English;USA;PG-13;117;2,35;12500000;21078145;Denzel Washington;Denzel Washington;Kevin Connolly;Derek Luke;18000;18000;638;543;20456;0;0;26493;159;121;7,3;
Ararat ;2002;Drama|War;English;Canada;R;115;1,66;;1554566;Atom Egoyan;David Alpay;Marie-Josée Croze;Charles Aznavour;460;232;150;125;699;824;1;8624;180;78;6,6;
Austin Powers in Goldmember ;2002;Action|Comedy|Crime;English;USA;PG-13;94;2,35;63000000;213079163;Jay Roach;Verne Troyer;Josh Zuckerman;Robert Wagner;116;645;522;481;2725;0;2;162909;795;194;6,2;
Auto Focus ;2002;Biography|Crime|Drama;English;USA;R;105;1,85;7000000;2062066;Paul Schrader;Ed Begley Jr.;Michael McKean;Kurt Fuller;261;783;658;617;2684;357;3;11387;147;97;6,6;
Bad Company ;2002;Action|Adventure|Comedy|Thriller;English;USA;PG-13;116;2,35;70000000;30157016;Joel Schumacher;Anthony Hopkins;Brooke Smith;Garcelle Beauvais;541;12000;405;384;12993;792;2;39659;189;128;5,6;
Ballistic: Ecks vs. Sever ;2002;Action|Crime|Sci-Fi|Thriller;English;USA;R;91;2,35;70000000;14294842;Wych Kaosayananda;Talisa Soto;Sandrine Holt;Gregg Henry;8;349;324;298;1846;391;1;16761;277;92;3,6;
Barbershop ;2002;Comedy|Drama;English;USA;PG-13;102;1,85;12000000;75074950;Tim Story;Sean Patrick Thomas;Jason George;Cedric the Entertainer;167;656;528;436;2754;770;0;22147;156;91;6,3;
Bend It Like Beckham ;2002;Comedy|Drama|Romance|Sport;English;UK;PG-13;112;1,85;3500159;32541719;Gurinder Chadha;Archie Panjabi;Parminder Nagra;Anupam Kher;98;883;528;397;2201;0;0;89806;438;161;6,7;
Better Luck Tomorrow ;2002;Crime|Drama|Romance;English;USA;R;98;1,85;250000;3799339;Justin Lin;Parry Shen;Jason Tobin;Collin Kahey;681;94;26;13;139;661;1;8000;138;51;7,2;
Big Fat Liar ;2002;Adventure|Comedy|Family;English;USA;PG;88;1,85;15000000;47811275;Shawn Levy;Frankie Muniz;Donald Faison;Lee Majors;189;934;927;799;3707;896;1;29008;99;69;5,4;
Big Fat Liar ;2002;Adventure|Comedy|Family;English;USA;PG;88;1,85;15000000;47811275;Shawn Levy;Frankie Muniz;Donald Faison;Lee Majors;189;934;927;799;3707;896;1;29008;99;69;5,4;
Big Trouble ;2002;Comedy|Crime|Thriller;English;USA;PG-13;74;1,85;40000000;7262288;Barry Sonnenfeld;Zooey Deschanel;Janeane Garofalo;Omar Epps;188;11000;1000;865;13917;892;2;17307;186;87;6,5;
Blade II ;2002;Action|Horror|Sci-Fi|Thriller;English;USA;R;117;1,85;54000000;81645152;Guillermo del Toro;Norman Reedus;Thomas Kretschmann;Tony Curran;0;12000;919;845;15371;0;1;158267;559;224;6,7;
Blood Work ;2002;Action|Crime|Drama|Mystery|Thriller;English;USA;R;110;2,35;50000000;26199517;Clint Eastwood;Clint Eastwood;Anjelica Huston;Rick Hoffman;16000;16000;1000;581;18635;705;1;34356;260;146;6,4;
Bloody Sunday ;2002;Drama|History|War;English;UK;R;107;1,85;2000000;768045;Paul Greengrass;James Nesbitt;Nicholas Farrell;Tim Pigott-Smith;521;773;89;80;976;0;0;19732;120;92;7,7;
Blue Car ;2002;Drama;English;USA;R;88;1,85;1000000;464126;Karen Moncrieff;Frances Fisher;Agnes Bruckner;A.J. Buckley;22;638;400;275;1641;115;0;3142;68;44;6,7;
Blue Crush ;2002;Drama|Romance|Sport;English;USA;PG-13;104;1,85;30000000;40118420;John Stockwell;Faizon Love;Mika Boorem;Sanoe Lake;134;585;495;64;1165;0;3;26066;216;69;5,6;
Boat Trip ;2002;Comedy;English;USA;R;97;1,85;20000000;8586376;Mort Nathan;Vivica A. Fox;Lin Shaye;Bob Gunton;2;890;852;461;3161;1000;4;26598;132;63;4,9;
Bowling for Columbine ;2002;Crime|Documentary|Drama;English;Germany;R;120;1,85;4000000;21244913;Michael Moore;Michael Moore;Dick Clark;Bill Clinton;909;909;504;184;1779;4000;2;123090;888;215;8;
Brown Sugar ;2002;Comedy|Drama|Music|Romance;English;USA;PG-13;109;1,85;8000000;27362712;Rick Famuyiwa;Boris Kodjoe;Sanaa Lathan;Wendell Pierce;44;1000;886;458;3199;0;1;5971;60;37;6,5;
Bubba Ho-Tep ;2002;Comedy|Fantasy|Mystery;English;USA;R;92;1,85;1000000;;Don Coscarelli;Daniel Roebuck;Ossie Davis;Ella Joyce;152;1000;282;124;1587;0;2;38893;366;260;7,2;
Catch Me If You Can ;2002;Biography|Crime|Drama;English;USA;PG-13;141;1,85;52000000;164435221;Steven Spielberg;Leonardo DiCaprio;Tom Hanks;Jennifer Garner;14000;29000;15000;3000;48153;15000;0;525801;667;194;8;
Changing Lanes ;2002;Drama|Thriller;English;USA;R;91;2,35;45000000;66790248;Roger Michell;Sydney Pollack;Matt Malloy;Bruce Altman;50;521;108;67;758;0;0;57281;350;167;6,5;
Chicago ;2002;Comedy|Crime|Musical;English;USA;PG-13;113;1,85;45000000;170684505;Rob Marshall;Colm Feore;Chita Rivera;Jayne Eastwood;252;539;151;90;813;0;0;172080;1017;223;7,2;
City by the Sea ;2002;Crime|Drama|Mystery|Thriller;English;USA;R;108;2,35;60000000;22433915;Michael Caton-Jones;Robert De Niro;James Franco;John Doman;105;22000;11000;616;34377;416;1;21319;166;104;6,2;
City of Ghosts ;2002;Crime|Drama|Thriller;English;USA;R;116;1,85;17500000;325491;Matt Dillon;Kirk Fox;Shawn Andrews;Rob Campbell;0;109;67;50;245;204;0;4387;67;38;6;
City of God ;2002;Crime|Drama;Portuguese;Brazil;R;135;1,85;3300000;7563397;Fernando Meirelles;Alice Braga;Seu Jorge;Alexandre Rodrigues;353;1000;69;40;1211;28000;0;533200;749;214;8,7;
Civil Brand ;2002;Crime|Drama|Thriller;English;USA;R;91;1,85;500000;243347;Neema Barnette;Monica Calhoun;LisaRaye McCoy;Clifton Powell;21;597;485;469;2555;86;3;553;24;11;5,3;
Clockstoppers ;2002;Action|Adventure|Comedy|Sci-Fi|Thriller;English;USA;PG;94;1,85;26000000;36985501;Jonathan Frakes;Michael Biehn;Paula Garcés;Jason George;906;2000;587;528;3917;874;0;11212;94;69;5,2;
Collateral Damage ;2002;Action|Drama|Thriller;English;USA;R;108;1,85;85000000;40048332;Andrew Davis;Raymond Cruz;Rick Worthy;Jsu Garcia;99;672;174;172;1460;941;1;61417;339;135;5,5;
Confessions of a Dangerous Mind ;2002;Biography|Comedy|Crime|Drama|Romance|Thriller;English;USA;R;113;2,35;29000000;;George Clooney;Dick Clark;David Julian Hirsh;Jennifer Hall;0;504;147;89;810;3000;0;71596;276;181;7,1;
Crop Circles: Quest for Truth ;2002;Documentary;English;USA;;115;;750000;;William Gazecki;Karen Alexander;Colin Andrews;Francine Blake;3;0;0;0;0;32;0;204;13;15;7;
Crossroads ;2002;Comedy|Drama;English;USA;PG-13;93;1,85;12000000;37188667;Tamra Davis;Britney Spears;Katherine Boecher;Dave Allen;33;1000;188;135;1531;0;1;34219;578;111;3,3;
Crossroads ;2002;Comedy|Drama;English;USA;PG-13;93;1,85;12000000;37188667;Tamra Davis;Britney Spears;Katherine Boecher;Dave Allen;33;1000;188;135;1531;0;1;34219;578;111;3,3;
Cypher ;2002;Mystery|Romance|Sci-Fi|Thriller;English;USA;R;95;1,85;7500000;;Vincenzo Natali;David Hewlett;Jeremy Northam;Kari Matchett;165;686;327;280;1501;0;2;27052;124;82;6,8;
Dark Blue ;2002;Crime|Drama|Romance|Thriller;English;USA;R;118;2,35;15000000;9059588;Ron Shelton;Khandi Alexander;Dash Mihok;Michael Michele;41;556;463;274;1873;455;1;17261;125;71;6,6;
Darkness ;2002;Horror;English;USA;PG-13;103;2,35;10600000;22160085;Jaume Balagueró;Lena Olin;Giancarlo Giannini;Francesc Pagès;57;541;451;132;1228;1000;0;16747;349;108;5,4;
Death to Smoochy ;2002;Comedy|Crime|Drama|Thriller;English;UK;R;109;1,85;55000000;8355815;Danny DeVito;Robin Williams;Vincent Schiavelli;Danny Woodburn;0;49000;811;809;52885;0;2;34730;341;105;6,4;
Deuces Wild ;2002;Action|Crime|Drama;English;USA;R;96;2,35;10000000;6044618;Scott Kalvert;Norman Reedus;James Franco;Frankie Muniz;9;12000;11000;934;26961;398;1;6200;92;38;5,6;
Die Another Day ;2002;Action|Adventure|Thriller;English;UK;PG-13;133;2,35;142000000;160201106;Lee Tamahori;Toby Stephens;Colin Salmon;Rick Yune;93;769;766;746;2538;0;0;169914;1185;264;6,1;
Dirty Pretty Things ;2002;Crime|Drama|Thriller;English;UK;R;97;1,85;10000000;8111360;Stephen Frears;Sophie Okonedo;Benedict Wong;Sergi López;350;460;372;250;1334;0;1;34848;203;137;7,4;
Divine Secrets of the Ya-Ya Sisterhood ;2002;Drama;English;USA;PG-13;116;2,35;27000000;69586544;Callie Khouri;Ellen Burstyn;Fionnula Flanagan;Matthew Settle;144;1000;482;477;3845;0;4;15352;199;93;6;
Dracula: Pages from a Virgin's Diary ;2002;Comedy|Horror|Musical;English;Canada;;73;1,85;1600000;39659;Guy Maddin;Sarah Murphy-Dyson;CindyMarie Small;Brent Neale;126;14;4;3;21;131;1;1555;32;58;7;
Dragonfly ;2002;Drama|Fantasy|Mystery|Romance|Thriller;English;USA;PG-13;104;2,35;60000000;30063805;Tom Shadyac;Joe Morton;Susanna Thompson;Matt Craven;293;780;265;256;2109;0;0;31788;243;117;6,1;
Drumline ;2002;Comedy|Drama|Music|Romance;English;USA;PG-13;118;2,35;20000000;56398162;Charles Stone III;Leonard Roberts;Nick Cannon;Jason Weaver;30;962;593;284;2390;2000;0;28649;185;64;5,7;
Eight Legged Freaks ;2002;Action|Comedy|Horror;English;USA;PG-13;99;2,35;30000000;17266505;Ellory Elkayem;Scarlett Johansson;Doug E. Doug;Riley Smith;11;19000;953;762;22554;0;1;43764;291;181;5,4;
El crimen del padre Amaro ;2002;Drama|Romance;Spanish;Mexico;R;118;1,85;1800000;5709616;Carlos Carrera;Damián Alcázar;Ana Claudia Talancón;Pedro Armendáriz Jr.;12;201;163;67;546;544;0;11088;110;85;6,8;
Enough ;2002;Crime|Drama|Thriller;English;USA;PG-13;115;2,35;38000000;39177215;Michael Apted;Bill Cobbs;Jeff Kober;Billy Campbell;150;970;919;789;3770;0;1;30667;234;98;5,6;
Equilibrium ;2002;Action|Drama|Sci-Fi|Thriller;English;USA;R;107;2,35;20000000;1190018;Kurt Wimmer;Christian Bale;Emily Watson;Sean Pertwee;110;23000;876;722;25088;20000;2;261317;1137;146;7,5;
Extreme Ops ;2002;Action|Adventure|Thriller;English;UK;PG-13;93;2,35;40000000;4835968;Christian Duguay;Rufus Sewell;Bridgette Wilson-Sampras;Rupert Graves;18;3000;545;443;4123;158;0;4821;82;53;4,5;
Eye See You ;2002;Crime|Horror|Mystery|Thriller;English;USA;R;96;2,35;55000000;;Jim Gillespie;Sylvester Stallone;Tom Berenger;Charles S. Dutton;13;13000;854;534;15803;448;1;19706;142;66;5,3;
Fabled ;2002;Drama|Horror|Mystery|Thriller;English;USA;R;84;1,78;;25918;Ari Kirschenbaum;R. Brandon Johnson;Adam LeFevre;Desmond Askew;0;169;80;36;312;7;0;191;10;8;5,8;
Far from Heaven ;2002;Drama|Romance;English;USA;PG-13;107;1,85;13500000;15854988;Todd Haynes;Dennis Quaid;Celia Weston;Michael Gaston;162;2000;258;135;2447;0;2;36542;378;181;7,4;
Feardotcom ;2002;Crime|Horror|Thriller;English;UK;R;101;2,35;42000000;13208023;William Malone;Natascha McElhone;Jeffrey Combs;Udo Kier;37;2000;886;595;4262;612;1;17309;388;104;3,3;
Femme Fatale ;2002;Crime|Drama|Mystery|Thriller;English;France;R;114;1,85;35000000;6592103;Brian De Palma;Peter Coyote;Gregg Henry;Rie Rasmussen;0;548;298;115;1005;675;1;28584;232;149;6,3;
Frida ;2002;Biography|Drama|Romance;English;USA;R;123;1,85;12000000;25776062;Julie Taymor;Salma Hayek;Roger Rees;Valeria Golino;278;4000;1000;898;7072;0;0;61651;271;128;7,4;
Friday After Next ;2002;Comedy|Drama;English;USA;R;85;1,85;20000000;32983713;Marcus Raboy;John Witherspoon;Mike Epps;Katt Williams;7;723;706;615;3712;981;0;19284;66;26;5,8;
Full Frontal ;2002;Comedy|Romance;English;USA;R;101;1,85;2000000;2506446;Steven Soderbergh;Julia Roberts;Enrico Colantoni;Blair Underwood;0;8000;724;685;11327;134;0;8662;172;108;4,7;
Funny Ha Ha ;2002;Comedy|Drama;English;USA;;85;1,37;;;Andrew Bujalski;Andrew Bujalski;Kate Dollenmayer;Justin Rice;26;26;6;3;40;108;1;1894;61;43;6,4;
Gangs of New York ;2002;Crime|Drama;English;USA;R;216;2,35;100000000;77679638;Martin Scorsese;Leonardo DiCaprio;Liam Neeson;Jim Broadbent;17000;29000;14000;1000;47657;0;3;314033;1166;233;7,5;
Gerry ;2002;Adventure|Drama|Mystery;English;USA;R;103;2,35;3500000;236266;Gus Van Sant;Matt Damon;Casey Affleck;;835;13000;0;;13000;0;0;15104;290;103;6,2;
Ghost Ship ;2002;Horror;English;USA;R;91;1,85;35000000;30079316;Steve Beck;Isaiah Washington;Ron Eldard;Francesca Rettondini;17;534;385;78;1083;0;0;75920;474;156;5,5;
Half Past Dead ;2002;Action|Crime|Thriller;English;Germany;PG-13;98;1,85;13000000;15361537;Don Michael Paul;Claudia Christian;Nia Peeples;Tony Plana;70;462;444;223;1855;564;0;12263;132;58;4,6;
Halloween: Resurrection ;2002;Comedy|Horror|Thriller;English;USA;R;94;2,35;15000000;30259652;Rick Rosenthal;Jamie Lee Curtis;Thomas Ian Nicholas;Bianca Kajlich;28;2000;864;731;5440;0;5;26905;614;151;4,1;
Harry Potter and the Chamber of Secrets ;2002;Adventure|Family|Fantasy|Mystery;English;UK;PG;174;2,35;100000000;261970615;Chris Columbus;Daniel Radcliffe;Rupert Grint;Emma Watson;0;11000;10000;9000;35672;0;1;387616;858;232;7,4;
Hart's War ;2002;Drama|War;English;USA;R;125;2,35;60000000;19076815;Gregory Hoblit;Bruce Willis;Cole Hauser;Rory Cochrane;40;13000;787;407;15916;997;0;43651;196;112;6,3;
Hero ;2002;Action|Adventure|History;Mandarin;China;PG-13;80;2,35;31000000;84961;Yimou Zhang;Jet Li;Tony Chiu Wai Leung;Maggie Cheung;611;5000;643;576;6229;0;4;149414;841;283;7,9;
Hero ;2002;Action|Adventure|History;Mandarin;China;PG-13;80;2,35;31000000;84961;Yimou Zhang;Jet Li;Tony Chiu Wai Leung;Maggie Cheung;611;5000;643;576;6229;0;4;149414;841;283;7,9;
Hey Arnold! The Movie ;2002;Adventure|Animation|Comedy|Family;English;USA;PG;76;1,85;3000000;13684949;Tuck Tucker;Jennifer Jason Leigh;Vincent Schiavelli;Paul Sorvino;14;1000;811;636;3752;227;0;4564;43;33;5,9;
High Crimes ;2002;Crime|Drama|Mystery|Thriller;English;USA;PG-13;115;2,35;42000000;41543207;Carl Franklin;Morgan Freeman;Adam Scott;Bruce Davison;73;11000;3000;505;15571;893;1;30077;175;114;6,3;
Highway ;2002;Crime|Drama;English;USA;R;97;2,35;14000000;;James Cox;Jake Gyllenhaal;M.C. Gainey;Mark Rolston;10;15000;284;171;15740;912;3;5182;67;12;6,3;
Hollywood Ending ;2002;Comedy|Romance;English;USA;PG-13;112;1,85;16000000;4839383;Woody Allen;Woody Allen;Debra Messing;Treat Williams;11000;11000;650;642;12766;762;0;21613;148;109;6,6;
I Spy ;2002;Action|Adventure|Comedy|Thriller;English;USA;PG-13;97;1,37;70000000;33105600;Betty Thomas;Gary Cole;Phill Lewis;Tate Taylor;84;989;229;150;1576;531;1;41663;141;105;5,4;
Ice Age ;2002;Adventure|Animation|Comedy|Family;English;USA;PG;103;1,85;59000000;176387405;Chris Wedge;Goran Visnjic;Stephen Root;Denis Leary;77;1000;939;835;5437;3000;0;328159;467;193;7,6;
Igby Goes Down ;2002;Comedy|Drama;English;USA;R;99;2,35;9000000;4681503;Burr Steers;Kieran Culkin;Rory Culkin;Bill Irwin;23;1000;710;471;2478;838;1;29058;238;136;7;
Insomnia ;2002;Drama|Mystery|Thriller;English;USA;R;118;2,35;46000000;67263182;Christopher Nolan;Al Pacino;Maura Tierney;Crystal Lowe;22000;14000;509;319;15658;0;0;218771;651;185;7,2;
